date,open,low,high,close,volume,change
17/03/2023,1045.14,1053.37,1055.42,1043.54,491919487,-2.26 (-0.22%)
16/03/2023,1047.4,1056.15,1058.73,1043.65,464248804,-14.79 (-1.39%)
15/03/2023,1062.19,1052.06,1062.55,1043.82,549354353,+22.06 (+2.12%)
14/03/2023,1040.13,1049.3,1051.56,1034.72,559268089,-12.67 (-1.20%)
13/03/2023,1052.8,1046.95,1055.58,1045.46,524697475,-0.20 (-0.02%)
10/03/2023,1053,1050.53,1053.86,1046.31,456904718,-2.95 (-0.28%)
09/03/2023,1055.95,1050.61,1060.56,1049.45,557795196,+6.77 (+0.65%)
08/03/2023,1049.18,1028.77,1049.18,1027.8,480772305,+11.34 (+1.09%)
07/03/2023,1037.84,1033.96,1043.92,1033.32,424751711,+10.66 (+1.04%)
06/03/2023,1027.18,1032.68,1042.43,1026.73,390167802,+2.41 (+0.24%)
03/03/2023,1024.77,1038.1,1041.82,1022.78,384860210,-12.84 (-1.24%)
02/03/2023,1037.61,1039,1043.8,1033.07,323600739,-2.94 (-0.28%)
01/03/2023,1040.55,1023.29,1040.55,1013.37,468831652,+15.87 (+1.55%)
28/02/2023,1024.68,1027.74,1034.36,1018.72,361840202,+3.43 (+0.34%)
27/02/2023,1021.25,1029.55,1037.54,1017.55,514047262,-18.31 (-1.76%)
24/02/2023,1039.56,1051.58,1052.49,1034.66,397411116,-14.10 (-1.34%)
23/02/2023,1053.66,1053.95,1054.48,1030.58,635875420,-0.62 (-0.06%)
22/02/2023,1054.28,1073.62,1079.72,1054.28,766875629,-27.95 (-2.58%)
21/02/2023,1082.23,1089.74,1095.1,1081.8,654986075,-4.46 (-0.41%)
20/02/2023,1086.69,1059.74,1088.01,1059.56,632357012,+27.38 (+2.58%)
17/02/2023,1059.31,1058.99,1062.25,1053.26,429361712,+1.02 (+0.10%)
16/02/2023,1058.29,1051.16,1058.29,1047.45,410424347,+10.09 (+0.96%)
15/02/2023,1048.2,1037.17,1051.89,1034.39,494219711,+9.56 (+0.92%)
14/02/2023,1038.64,1045.14,1046.64,1032.76,338603680,-5.06 (-0.48%)
13/02/2023,1043.7,1050.99,1054.05,1031.7,604081987,-11.60 (-1.10%)
10/02/2023,1055.3,1066.16,1066.28,1054.08,405981492,-8.73 (-0.82%)
09/02/2023,1064.03,1070.07,1075.2,1064.03,383385672,-8.19 (-0.76%)
08/02/2023,1072.22,1067.58,1079.51,1063.5,480412264,+6.38 (+0.60%)
07/02/2023,1065.84,1088.07,1092.12,1065.18,595117862,-23.45 (-2.15%)
06/02/2023,1089.29,1072.53,1089.29,1067.24,415509001,+12.14 (+1.13%)
03/02/2023,1077.15,1078.8,1081.89,1070.46,506228410,-0.44 (-0.04%)
02/02/2023,1077.59,1079.69,1083.36,1070.81,592840287,+1.62 (+0.15%)
01/02/2023,1075.97,1114.68,1116.96,1075.97,974313591,-35.21 (-3.17%)
31/01/2023,1111.18,1100.4,1111.18,1088.25,653777043,+8.61 (+0.78%)
30/01/2023,1102.57,1117.66,1118.46,1102.57,751669376,-14.53 (-1.30%)
27/01/2023,1117.1,1114.15,1124.3,1111.41,571796047,+9.02 (+0.81%)
19/01/2023,1108.08,1095.53,1111.72,1094.46,578424840,+9.80 (+0.89%)
18/01/2023,1098.28,1092.5,1100.39,1089.56,553973050,+9.99 (+0.92%)
17/01/2023,1088.29,1071.37,1088.29,1067.6,592973477,+21.61 (+2.03%)
16/01/2023,1066.68,1062.27,1067.74,1057.87,408251101,+6.51 (+0.61%)
13/01/2023,1060.17,1060.71,1066.39,1055.23,475831302,+3.78 (+0.36%)
12/01/2023,1056.39,1058.51,1060.97,1050.27,384711856,+0.63 (+0.06%)
11/01/2023,1055.76,1058.25,1065.69,1054.53,508383635,+2.41 (+0.23%)
10/01/2023,1053.35,1054.84,1057.44,1045.75,423559983,-0.86 (-0.08%)
09/01/2023,1054.21,1058.28,1062.12,1050.95,386475419,+2.77 (+0.26%)
06/01/2023,1051.44,1055.51,1065.58,1047.26,614839617,-4.38 (-0.41%)
05/01/2023,1055.82,1048.17,1058.14,1046.64,496648822,+9.47 (+0.91%)
04/01/2023,1046.35,1048.31,1052.6,1041.56,567122435,+2.45 (+0.23%)
03/01/2023,1043.9,1011.39,1043.9,1011.38,518330539,+36.81 (+3.66%)
30/12/2022,1007.09,1017.45,1017.99,1007.09,344476102,-2.20 (-0.22%)
29/12/2022,1009.29,1016.06,1021.96,1009.29,371423239,-6.37 (-0.63%)
28/12/2022,1015.66,1008.41,1020.52,998.97,392401430,+11.09 (+1.10%)
27/12/2022,1004.57,986.07,1007.88,983.67,507365838,+19.36 (+1.97%)
26/12/2022,985.21,1019.66,1021.89,985.21,567028245,-35.13 (-3.44%)
23/12/2022,1020.34,1023.69,1027.34,1013.2,423957138,-2.27 (-0.22%)
22/12/2022,1022.61,1026.49,1033.18,1016.54,531856686,+3.73 (+0.37%)
21/12/2022,1018.88,1033.34,1033.84,1005.43,703743162,-4.25 (-0.42%)
20/12/2022,1023.13,1035.82,1038.74,1010.08,954254715,-15.27 (-1.47%)
19/12/2022,1038.4,1053.91,1065.59,1038.4,852541606,-14.08 (-1.34%)
16/12/2022,1052.48,1048.62,1064.79,1047.16,790451687,-2.84 (-0.27%)
15/12/2022,1055.32,1049.16,1062.61,1049.06,665936183,+4.89 (+0.47%)
14/12/2022,1050.43,1062.18,1062.18,1046.43,668040483,+2.98 (+0.28%)
13/12/2022,1047.45,1035.76,1047.45,1026.3,735990880,+15.38 (+1.49%)
12/12/2022,1032.07,1059.55,1065.16,1032.07,808987597,-19.74 (-1.88%)
09/12/2022,1051.81,1056.85,1061.21,1041.39,725840141,+1.28 (+0.12%)
08/12/2022,1050.53,1055.21,1078.09,1045.98,873932924,+9.51 (+0.91%)
07/12/2022,1041.02,1046.72,1059.79,1034.92,828165808,-7.67 (-0.73%)
06/12/2022,1048.69,1088.9,1090.64,1048.69,1357245176,-44.98 (-4.11%)
05/12/2022,1093.67,1090.97,1099.45,1082.59,1112476953,+13.66 (+1.26%)
02/12/2022,1080.01,1032.67,1080.01,1030.81,1014519597,+43.73 (+4.22%)
01/12/2022,1036.28,1057.97,1066.28,1035.62,1263641012,-12.14 (-1.16%)
30/11/2022,1048.42,1037.44,1048.42,1021.54,956740638,+16.26 (+1.58%)
29/11/2022,1032.16,1008.85,1032.16,998.56,1101952455,+26.47 (+2.63%)
28/11/2022,1005.69,979.68,1006.22,979.48,872659644,+34.23 (+3.52%)
25/11/2022,971.46,956.62,971.46,955.53,554522096,+23.75 (+2.51%)
24/11/2022,947.71,942.86,950.03,934.31,482211800,+1.71 (+0.18%)
23/11/2022,946,947.81,958.61,942.02,489057298,-6.12 (-0.64%)
22/11/2022,952.12,953.78,985.28,948.52,978966312,-8.53 (-0.89%)
21/11/2022,960.65,971.58,973.19,956.77,522896406,-8.68 (-0.90%)
18/11/2022,969.33,967.18,971.77,939.73,833998764,+0.07 (+0.01%)
17/11/2022,969.26,952.91,972.88,945.09,589757181,+26.36 (+2.80%)
16/11/2022,942.9,876,945.42,873.78,934319990,+31.00 (+3.40%)
15/11/2022,911.9,926.08,929.06,900.17,589338231,-29.14 (-3.10%)
14/11/2022,941.04,939.94,949.38,923.53,599475661,-13.49 (-1.41%)
11/11/2022,954.53,954.95,966.7,949.49,646430307,+7.29 (+0.77%)
10/11/2022,947.24,974.76,976.31,935.78,698929752,-38.35 (-3.89%)
09/11/2022,985.59,983.62,994.79,977.93,479348375,+3.94 (+0.40%)
08/11/2022,981.65,960.93,981.86,956.97,542658093,+6.46 (+0.66%)
07/11/2022,975.19,989.74,996.18,969.61,534179038,-21.96 (-2.20%)
04/11/2022,997.15,1008.23,1009.96,974.61,694874936,-22.66 (-2.22%)
03/11/2022,1019.81,1011.41,1023.95,1010.65,404560465,-3.38 (-0.33%)
02/11/2022,1023.19,1033.51,1034.73,1018.64,488484391,-10.56 (-1.02%)
01/11/2022,1033.75,1034.77,1043.53,1027.39,576018299,+5.81 (+0.57%)
31/10/2022,1027.94,1028.24,1030.32,1005,581686899,+0.58 (+0.06%)
28/10/2022,1027.36,1036.27,1044.57,1026.53,515678504,-0.65 (-0.06%)
27/10/2022,1028.01,994.82,1028.01,990.48,572521830,+34.65 (+3.49%)
26/10/2022,993.36,1000.71,1004.55,984.71,352504126,-4.34 (-0.44%)
25/10/2022,997.7,980.47,1011.39,962.45,670496541,+11.55 (+1.17%)
